transaction_id,store_id,checkout_id,nb_items,transaction_duration_sec,nb_cancellations,is_synthetic_fraud,sec_per_item,cancel_ratio,checkout_tx_count,store_tx_count,anomaly_flag,anomaly_score_raw,risk_score
TX_003802,STORE_04,CHK_012,1,393,4,1,393.0,4.0,87,478,1,-0.17863210830292098,100.0
TX_001607,STORE_08,CHK_033,1,527,3,1,527.0,3.0,121,509,1,-0.1720149168107954,98.39
TX_002966,STORE_03,CHK_006,1,531,3,1,531.0,3.0,102,535,1,-0.17149672638720148,98.27
TX_004599,STORE_05,CHK_043,1,464,3,1,464.0,3.0,98,469,1,-0.17092551333006267,98.13
TX_000142,STORE_07,CHK_016,1,480,3,1,480.0,3.0,104,492,1,-0.16277125470169973,96.15
TX_002962,STORE_09,CHK_032,1,194,9,1,194.0,9.0,111,524,1,-0.16117736879075695,95.76
TX_002422,STORE_09,CHK_047,1,346,4,1,346.0,4.0,95,524,1,-0.15953989370384847,95.36
TX_004808,STORE_07,CHK_033,2,496,4,1,248.0,2.0,121,492,1,-0.15666818271453853,94.66
TX_001403,STORE_08,CHK_040,1,563,2,1,563.0,2.0,114,509,1,-0.14831304679406332,92.63
TX_002863,STORE_01,CHK_048,1,542,2,1,542.0,2.0,113,509,1,-0.1462991179200086,92.14
TX_002776,STORE_08,CHK_042,2,534,4,1,267.0,2.0,95,509,1,-0.14379971680799375,91.54
TX_000598,STORE_05,CHK_034,1,563,1,1,563.0,1.0,89,469,1,-0.13697492641495368,89.88
TX_004455,STORE_05,CHK_040,1,523,1,1,523.0,1.0,114,469,1,-0.13330931552356917,88.99
TX_000757,STORE_02,CHK_010,2,425,4,1,212.5,2.0,90,490,1,-0.1314717868381713,88.54
TX_003677,STORE_03,CHK_004,1,376,2,1,376.0,2.0,95,535,1,-0.13062740088159863,88.34
TX_001406,STORE_05,CHK_028,1,159,5,1,159.0,5.0,102,469,1,-0.1289466397439044,87.93
TX_000561,STORE_05,CHK_032,1,79,7,1,79.0,7.0,111,469,1,-0.12155134681643576,86.13
TX_003954,STORE_04,CHK_034,3,188,9,1,62.666666666666664,3.0,89,478,1,-0.11932256829391508,85.59
TX_001248,STORE_10,CHK_016,1,576,1,1,576.0,1.0,104,505,1,-0.11427488041642409,84.36
TX_001595,STORE_06,CHK_049,2,355,4,1,177.5,2.0,91,489,1,-0.11322427502845167,84.11
TX_003401,STORE_08,CHK_048,2,416,3,1,208.0,1.5,113,509,1,-0.11175892881999328,83.75
TX_004572,STORE_06,CHK_040,2,514,2,1,257.0,1.0,114,489,1,-0.10949519411349085,83.2
TX_000884,STORE_03,CHK_012,3,450,3,1,150.0,1.0,87,535,1,-0.10808001139221568,82.86
TX_003041,STORE_05,CHK_050,2,146,7,1,73.0,3.5,102,469,1,-0.1071691387907352,82.64
TX_000616,STORE_10,CHK_042,2,118,9,1,59.0,4.5,95,505,1,-0.10680093508426836,82.55
TX_002623,STORE_10,CHK_024,1,464,1,1,464.0,1.0,92,505,1,-0.10567266339729642,82.27
TX_001706,STORE_03,CHK_006,2,349,3,1,174.5,1.5,102,535,1,-0.10059516776535626,81.04
TX_003669,STORE_06,CHK_025,56,225,4,1,4.017857142857143,0.07142857142857142,80,489,1,-0.09978805907722266,80.84
TX_001643,STORE_05,CHK_009,54,234,5,1,4.333333333333333,0.09259259259259259,98,469,1,-0.09483423907889021,79.64
TX_000410,STORE_07,CHK_015,50,238,7,1,4.76,0.14,104,492,1,-0.09163096396498605,78.86
TX_000852,STORE_10,CHK_044,34,228,7,1,6.705882352941177,0.20588235294117646,125,505,1,-0.09102097904107243,78.71
TX_004192,STORE_03,CHK_045,55,173,6,1,3.1454545454545455,0.10909090909090909,91,535,1,-0.09044790175635353,78.58
TX_003239,STORE_02,CHK_038,4,596,3,1,149.0,0.75,92,490,1,-0.08892670118911372,78.21
TX_002207,STORE_06,CHK_012,1,332,1,1,332.0,1.0,87,489,1,-0.0888129993980753,78.18
TX_001075,STORE_03,CHK_009,59,138,7,1,2.3389830508474576,0.11864406779661017,98,535,1,-0.08848068830948697,78.1
TX_004652,STORE_03,CHK_030,55,198,3,1,3.6,0.05454545454545454,84,535,1,-0.08800081767694967,77.98
TX_003557,STORE_05,CHK_037,4,481,3,1,120.25,0.75,99,469,1,-0.08681738038814246,77.69
TX_002180,STORE_02,CHK_036,3,376,4,1,125.33333333333333,1.3333333333333333,109,490,1,-0.08520478927695985,77.3
