transaction_id,store_id,store_format,checkout_id,transaction_hour,day_of_week,is_weekend,avg_basket_per_store,nb_items,transaction_duration_sec,nb_cancellations,fraud_pattern,is_synthetic_fraud,sec_per_item,cancel_ratio,items_vs_store_avg,store_avg_duration,duration_vs_store_avg,checkout_tx_count,store_tx_count,store_format_encoded,rule_reasons,rule_score,anomaly_flag,anomaly_score_raw,ml_risk_score,final_risk_score,final_flag
TX_006390,STORE_08,hyper,CHK_055,8,5,1,16,2,658,3,too_slow_for_few_items,1,329.0,1.5,0.125,153.7780269058296,4.278894802070424,108,892,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.16252452524364158,98.07,86.65,1
TX_001797,STORE_08,hyper,CHK_046,8,0,0,16,1,534,2,too_slow_for_few_items,1,534.0,2.0,0.0625,153.7780269058296,3.4725377269082163,136,892,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.1540071241448081,95.66,84.96,1
TX_005763,STORE_07,hyper,CHK_051,9,2,0,15,2,637,3,too_slow_for_few_items,1,318.5,1.5,0.13333333333333333,144.76382488479263,4.4002705821495365,121,868,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.14726319596850557,93.75,83.62,1
TX_004756,STORE_03,mall,CHK_031,10,1,0,9,1,577,3,too_slow_for_few_items,1,577.0,3.0,0.1111111111111111,97.91537544696067,5.892843665932247,113,839,1,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.16934152282634374,100.0,83.5,1
TX_003506,STORE_05,retail_park,CHK_035,15,3,0,12,1,432,3,too_slow_for_few_items,1,432.0,3.0,0.08333333333333333,124.02059496567506,3.483292433160507,102,874,2,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.13952002402226948,91.56,82.09,1
TX_006696,STORE_02,city,CHK_034,16,6,1,7,1,594,2,too_slow_for_few_items,1,594.0,2.0,0.14285714285714285,79.8921679909194,7.435021666548271,100,881,0,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.1604186802005485,97.48,81.74,1
TX_005080,STORE_03,mall,CHK_039,19,6,1,9,1,617,2,too_slow_for_few_items,1,617.0,2.0,0.1111111111111111,97.91537544696067,6.301359691300167,130,839,1,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.15875592937721672,97.01,81.41,1
TX_006008,STORE_01,city,CHK_038,13,6,1,6,2,601,3,too_slow_for_few_items,1,300.5,1.5,0.3333333333333333,70.39753639417694,8.537230573451046,107,893,0,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.15833024475097768,96.88,81.32,1
TX_005426,STORE_01,city,CHK_018,8,6,1,6,23,41,5,night_abnormal,1,1.7826086956521738,0.21739130434782608,3.8333333333333335,70.39753639417694,0.5824067446114689,127,893,0,"high_cancellations, too_fast_for_large_basket, basket_much_larger_than_store_average, abnormal_edge_hour_pattern",100,1,-0.07307667186827105,72.77,80.94,1
TX_003358,STORE_01,city,CHK_044,15,3,0,6,1,552,3,too_slow_for_few_items,1,552.0,3.0,0.16666666666666666,70.39753639417694,7.841183488427582,123,893,0,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.1560543175071467,96.24,80.87,1
TX_005003,STORE_03,mall,CHK_006,21,6,1,9,23,39,5,night_abnormal,1,1.6956521739130435,0.21739130434782608,2.5555555555555554,97.91537544696067,0.39830312473372204,112,839,1,"high_cancellations, too_fast_for_large_basket, basket_much_larger_than_store_average, abnormal_edge_hour_pattern",100,1,-0.07041069179810577,72.01,80.41,1
TX_005886,STORE_05,retail_park,CHK_058,10,1,0,12,1,494,2,too_slow_for_few_items,1,494.0,2.0,0.08333333333333333,124.02059496567506,3.9832094027344684,114,874,2,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.12961906686667857,88.76,80.13,1
TX_001500,STORE_06,retail_park,CHK_031,11,5,1,13,1,437,2,too_slow_for_few_items,1,437.0,2.0,0.07692307692307693,129.70387243735763,3.3692132068844396,113,878,2,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.1288114179148544,88.53,79.97,1
TX_002912,STORE_08,hyper,CHK_050,20,6,1,16,2,446,2,too_slow_for_few_items,1,223.0,1.0,0.125,153.7780269058296,2.900284318728585,110,892,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.12795329292441093,88.29,79.8,1
TX_001136,STORE_08,hyper,CHK_056,21,5,1,16,2,698,1,too_slow_for_few_items,1,349.0,0.5,0.125,153.7780269058296,4.53900998760662,119,892,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.12686829377091424,87.98,79.59,1
TX_002197,STORE_01,city,CHK_009,20,0,0,6,2,538,3,too_slow_for_few_items,1,269.0,1.5,0.3333333333333333,70.39753639417694,7.642312892706593,127,893,0,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.14930521660433438,94.33,79.53,1
TX_003975,STORE_04,mall,CHK_038,12,5,1,10,2,597,3,too_slow_for_few_items,1,298.5,1.5,0.2,105.14285714285714,5.677989130434783,107,875,1,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.14851762606691454,94.11,79.38,1
TX_002606,STORE_03,mall,CHK_020,17,0,0,9,1,475,2,too_slow_for_few_items,1,475.0,2.0,0.1111111111111111,97.91537544696067,4.851127801244051,110,839,1,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.1477758643311613,93.9,79.23,1
TX_001363,STORE_07,hyper,CHK_037,19,1,0,15,2,385,3,too_slow_for_few_items,1,192.5,1.5,0.13333333333333333,144.76382488479263,2.659504198002467,144,868,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.12427057683903997,87.25,79.07,1
TX_005968,STORE_05,retail_park,CHK_032,21,2,0,12,1,415,2,too_slow_for_few_items,1,415.0,2.0,0.08333333333333333,124.02059496567506,3.346218425374098,110,874,2,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.12111074367066732,86.36,78.45,1
TX_001519,STORE_06,retail_park,CHK_008,12,1,0,13,1,418,2,too_slow_for_few_items,1,418.0,2.0,0.07692307692307693,129.70387243735763,3.2227256761503336,126,878,2,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.11925778757907146,85.83,78.08,1
TX_005178,STORE_06,retail_park,CHK_005,12,6,1,13,2,385,3,too_slow_for_few_items,1,192.5,1.5,0.15384615384615385,129.70387243735763,2.9682999648753072,118,878,2,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.1187568598859321,85.69,77.98,1
TX_003956,STORE_08,hyper,CHK_015,9,4,0,16,2,648,1,too_slow_for_few_items,1,324.0,0.5,0.125,153.7780269058296,4.213866005686374,108,892,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.11821783836401578,85.54,77.88,1
TX_002029,STORE_03,mall,CHK_052,21,4,0,9,2,698,1,too_slow_for_few_items,1,349.0,0.5,0.2222222222222222,97.91537544696067,7.128604642670205,131,839,1,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.14024816909809046,91.77,77.74,1
TX_003074,STORE_02,city,CHK_042,20,5,1,7,1,433,2,too_slow_for_few_items,1,433.0,2.0,0.14285714285714285,79.8921679909194,5.4198053562548845,114,881,0,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.1396322764683927,91.6,77.62,1
TX_003753,STORE_05,retail_park,CHK_043,14,5,1,12,1,335,2,too_slow_for_few_items,1,335.0,2.0,0.08333333333333333,124.02059496567506,2.7011642710851156,114,874,2,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.11663884094983723,85.09,77.56,1
TX_001221,STORE_04,mall,CHK_051,10,4,0,10,1,480,3,too_slow_for_few_items,1,480.0,3.0,0.1,105.14285714285714,4.565217391304348,121,875,1,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.13865439122816603,91.32,77.42,1
TX_004086,STORE_03,mall,CHK_034,21,2,0,9,1,264,3,too_slow_for_few_items,1,264.0,3.0,0.1111111111111111,97.91537544696067,2.6962057674282724,100,839,1,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.13846840641453373,91.27,77.39,1
TX_006046,STORE_01,city,CHK_047,15,6,1,6,2,441,3,too_slow_for_few_items,1,220.5,1.5,0.3333333333333333,70.39753639417694,6.264423765211166,133,893,0,"too_slow_for_small_basket, high_cancel_ratio",45,1,-0.13833131673767451,91.23,77.36,1
TX_006023,STORE_07,hyper,CHK_055,21,6,1,15,1,98,3,basket_inconsistent_with_store,1,98.0,3.0,0.06666666666666667,144.76382488479263,0.6769647049460825,108,868,3,"too_slow_for_small_basket, high_cancel_ratio, basket_much_smaller_than_store_average",60,1,-0.11162579841812093,83.67,76.57,1
