transaction_id,store_id,store_format,checkout_id,transaction_hour,day_of_week,is_weekend,avg_basket_per_store,nb_items,transaction_duration_sec,nb_cancellations,fraud_pattern,is_synthetic_fraud,sec_per_item,cancel_ratio,items_vs_store_avg,store_avg_duration,duration_vs_store_avg,checkout_tx_count,store_tx_count,store_format_encoded,rule_reasons,rule_score,anomaly_score_raw,ml_risk_score,final_risk_score,risk_level,action,final_flag
TX_000001,STORE_01,city,CHK_047,17,3,0,6,8,99,0,normal,0,12.375,0.0,1.3333333333333333,69.33370535714286,1.4278769537852325,140,896,0,none,0,0.05932610176530645,26.64,15.98,low,OK,0
TX_000002,STORE_06,retail_park,CHK_046,18,5,1,13,15,120,0,normal,0,8.0,0.0,1.1538461538461537,131.8413407821229,0.9101849183884473,125,895,2,none,0,0.0956181597203325,15.23,9.14,low,OK,0
TX_000003,STORE_07,hyper,CHK_039,13,5,1,15,20,152,0,normal,0,7.6,0.0,1.3333333333333333,149.55452436194895,1.0163517329113532,130,862,3,none,0,0.06762548293409992,24.03,14.42,low,OK,0
TX_000004,STORE_07,hyper,CHK_050,11,4,0,15,14,112,3,normal,0,8.0,0.21428571428571427,0.9333333333333333,149.55452436194895,0.7488907505662602,114,862,3,moderate_cancellations,20,0.049505821275752315,29.73,25.84,low,OK,0
TX_000005,STORE_04,mall,CHK_003,15,1,0,10,11,155,1,normal,0,14.090909090909092,0.09090909090909091,1.1,104.49385474860335,1.4833408182032035,122,895,1,none,0,0.09599755544447874,15.11,9.07,low,OK,0
TX_000006,STORE_01,city,CHK_029,19,1,0,6,5,51,0,normal,0,10.2,0.0,0.8333333333333334,69.33370535714286,0.7355729761923925,118,896,0,none,0,0.09687275156505742,14.84,8.9,low,OK,0
TX_000007,STORE_08,hyper,CHK_027,10,5,1,16,13,145,1,normal,0,11.153846153846153,0.07692307692307693,0.8125,153.91869918699186,0.9420557785759561,114,861,3,none,0,0.05271133368615749,28.72,17.23,low,OK,0
TX_000008,STORE_08,hyper,CHK_018,11,4,0,16,16,169,0,normal,0,10.5625,0.0,1.0,153.91869918699186,1.0979822522712868,112,861,3,none,0,0.10719436464294835,11.59,6.95,low,OK,0
TX_000009,STORE_07,hyper,CHK_040,14,4,0,15,15,125,0,normal,0,8.333333333333334,0.0,1.0,149.55452436194895,0.8358155698284154,105,862,3,none,0,0.11467009767907077,9.24,5.54,low,OK,0
TX_000010,STORE_02,city,CHK_007,14,4,0,7,9,61,1,normal,0,6.777777777777778,0.1111111111111111,1.2857142857142858,79.71461716937355,0.7652297930552725,125,862,0,none,0,0.08765423030670838,17.73,10.64,low,OK,0
TX_000011,STORE_01,city,CHK_034,19,2,0,6,4,48,0,normal,0,12.0,0.0,0.6666666666666666,69.33370535714286,0.69230397759284,122,896,0,none,0,0.09225189033392722,16.29,9.77,low,OK,0
TX_000012,STORE_08,hyper,CHK_052,8,1,0,16,13,136,0,normal,0,10.461538461538462,0.0,0.8125,153.91869918699186,0.8835833509402071,113,861,3,none,0,0.09436463669254336,15.62,9.37,low,OK,0
TX_000013,STORE_02,city,CHK_034,15,5,1,7,9,190,4,many_cancellations,1,21.11111111111111,0.4444444444444444,1.2857142857142858,79.71461716937355,2.383502634106587,122,862,0,"moderate_cancellations, very_high_cancel_ratio",45,-0.052589200428797556,61.83,55.1,medium,MONITOR,1
TX_000014,STORE_06,retail_park,CHK_042,14,5,1,13,16,171,1,normal,0,10.6875,0.0625,1.2307692307692308,131.8413407821229,1.2970135087035375,117,895,2,none,0,0.08081699435133843,19.88,11.93,low,OK,0
TX_000015,STORE_02,city,CHK_015,12,4,0,7,1,25,0,normal,0,25.0,0.0,0.14285714285714285,79.71461716937355,0.3136187676456035,112,862,0,basket_too_small,15,0.03218509737375952,35.17,27.1,low,OK,0
TX_000016,STORE_06,retail_park,CHK_022,20,3,0,13,12,147,1,normal,0,12.25,0.08333333333333333,0.9230769230769231,131.8413407821229,1.1149765250258479,133,895,2,none,0,0.08373728070798875,18.97,11.38,low,OK,0
TX_000017,STORE_06,retail_park,CHK_045,11,0,0,13,11,126,0,normal,0,11.454545454545455,0.0,0.8461538461538461,131.8413407821229,0.9556941643078697,112,895,2,none,0,0.1112670749385975,10.31,6.19,low,OK,0
TX_000018,STORE_01,city,CHK_049,16,3,0,6,1,28,1,normal,0,28.0,1.0,0.16666666666666666,69.33370535714286,0.40384398692915663,118,896,0,"very_high_cancel_ratio, basket_too_small",40,-0.035899582498747806,56.58,49.95,medium,MONITOR,0
TX_000019,STORE_02,city,CHK_009,16,0,0,7,3,45,0,normal,0,15.0,0.0,0.42857142857142855,79.71461716937355,0.5645137817620863,126,862,0,none,0,0.08511290668723664,18.53,11.12,low,OK,0
TX_000020,STORE_06,retail_park,CHK_012,12,4,0,13,18,121,0,normal,0,6.722222222222222,0.0,1.3846153846153846,131.8413407821229,0.917769792708351,119,895,2,none,0,0.0995808204987026,13.98,8.39,low,OK,0
